evidence_source,dataset,split,route,classification,policy_role,status,route_policy_signal,strong_baseline_relation,metrics_summary,reason
phase60_main,broad12,spot_size,film/global_standard,paper_positive_seed_robust,must_preserve_before_route_policy,preserve_main_floor,preserve_only,beats strong baseline on all three metrics,Test RMSE: delta_vs_best=-15.4657960003; Hot q90 RMSE: delta_vs_best=-90.4291025223; Gradient q90 RMSE: delta_vs_best=-67.8374777369,Route policy must preserve this fixed-sampling spot_size floor before any expansion.
phase60_main,broad21,spot_size,film/global_standard,paper_positive_seed_robust,must_preserve_before_route_policy,preserve_main_floor,preserve_only,beats strong baseline on all three metrics,Test RMSE: delta_vs_best=-3.18310946913; Hot q90 RMSE: delta_vs_best=-87.662906492; Gradient q90 RMSE: delta_vs_best=-56.3367273176,Route policy must preserve this fixed-sampling spot_size floor before any expansion.
phase60_route,broad12,laser_power,concat/global_standard,route_guard_positive,route-guard-only boundary evidence,route_boundary_no_policy_signal,blocked_for_policy_training,trails strongest reproducible baseline,Test RMSE: 140.753534 vs mean 132.965887 (d=7.787647); Hot q90 RMSE: 254.473291 vs mean 242.427068 (d=12.046223); Gradient q90 RMSE: 215.411533 vs mean 208.105836 (d=7.305697),This boundary axis cannot open a route-policy branch without a new validation-visible selector.
phase60_route,broad12,line,none/none,paper_claim_positive,route guard / no-process fallback evidence,fallback_positive_not_policy_upgrade,preserve_fallback,strong-baseline positive through no-process fallback,Test RMSE: 126.308616 vs mean 134.042138 (d=-7.733522); Hot q90 RMSE: 217.257126 vs knn_coords 228.525979 (d=-11.268853); Gradient q90 RMSE: 195.314294 vs knn_coords 210.675696 (d=-15.361402),"This can support route guarding, but it is not a process route-policy improvement."
phase60_route,broad12,process,none/none,route_guard_positive,route-guard-only boundary evidence,route_boundary_no_policy_signal,blocked_for_policy_training,trails strongest reproducible baseline,Test RMSE: 181.091525 vs mean 147.381589 (d=33.709936); Hot q90 RMSE: 325.205379 vs mean 251.032500 (d=74.172879); Gradient q90 RMSE: 266.149257 vs mean 213.464819 (d=52.684438),This boundary axis cannot open a route-policy branch without a new validation-visible selector.
phase60_route,broad12,scan_speed,none/none,route_guard_positive,route-guard-only boundary evidence,route_boundary_no_policy_signal,blocked_for_policy_training,trails strongest reproducible baseline,Test RMSE: 186.173938 vs mean 145.115776 (d=41.058162); Hot q90 RMSE: 345.736994 vs mean 250.659348 (d=95.077645); Gradient q90 RMSE: 266.380605 vs mean 209.791354 (d=56.589251),This boundary axis cannot open a route-policy branch without a new validation-visible selector.
phase60_route,broad21,laser_power,concat/global_standard,route_guard_positive,route-guard-only boundary evidence,route_boundary_no_policy_signal,blocked_for_policy_training,trails strongest reproducible baseline,Test RMSE: 178.040331 vs mean 131.741364 (d=46.298967); Hot q90 RMSE: 296.909567 vs mean 237.730958 (d=59.178609); Gradient q90 RMSE: 254.954359 vs mean 205.133029 (d=49.821330),This boundary axis cannot open a route-policy branch without a new validation-visible selector.
phase60_route,broad21,line,none/none,paper_claim_positive,route guard / no-process fallback evidence,fallback_positive_not_policy_upgrade,preserve_fallback,strong-baseline positive through no-process fallback,Test RMSE: 126.194921 vs mean 131.161929 (d=-4.967008); Hot q90 RMSE: 234.351122 vs mean 243.188033 (d=-8.836911); Gradient q90 RMSE: 205.642173 vs mean 214.217962 (d=-8.575789),"This can support route guarding, but it is not a process route-policy improvement. A neural reference appears in diagnostics, but the selected route remains boundary/fallback evidence."
phase60_route,broad21,process,none/none,route_guard_positive,route-guard-only boundary evidence,route_boundary_no_policy_signal,blocked_for_policy_training,trails strongest reproducible baseline,Test RMSE: 166.231596 vs mean 145.350346 (d=20.881250); Hot q90 RMSE: 308.389105 vs mean 248.754243 (d=59.634862); Gradient q90 RMSE: 251.049837 vs mean 216.442403 (d=34.607434),This boundary axis cannot open a route-policy branch without a new validation-visible selector.
phase60_route,broad21,scan_speed,none/none,route_guard_positive,route-guard-only boundary evidence,route_boundary_no_policy_signal,blocked_for_policy_training,trails strongest reproducible baseline,Test RMSE: 227.128663 vs mean 144.014351 (d=83.114312); Hot q90 RMSE: 392.018079 vs mean 251.407139 (d=140.610940); Gradient q90 RMSE: 304.940054 vs mean 212.910489 (d=92.029565),"This boundary axis cannot open a route-policy branch without a new validation-visible selector. A neural reference appears in diagnostics, but the selected route remains boundary/fallback evidence."
