appendix_id,phase,branch,status,artifact,manuscript_use,reason
P88-APPX-BASE-001,33,Fixed Fourier spacetime representation,Negative,docs/results/ambench_multiline_process_fourier_spacetime_v1.md,Appendix diagnostic: fixed coordinate basis degraded all broad12 splits.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-002,34,Sparse closure and learned residual correction,Negative,docs/results/ambench_multiline_process_residual_correction_v1.md,Appendix diagnostic: closure/residual heads over-traded hot/gradient metrics.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-003,35,Train-split region-weighted data loss,Negative after seed check,docs/results/ambench_multiline_process_region_weighted_loss_v1.md,Appendix diagnostic: single-seed region gains did not survive paired seeds.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-004,36,Structured process-neighborhood RBF features,Unstable,docs/results/ambench_multiline_process_process_graph_rbf_v1.md,Appendix diagnostic: split-local process-neighborhood signal did not transfer.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-005,37,Strong-baseline residualized Macro PINN,Negative,docs/results/ambench_multiline_process_target_residual_v1.md,Appendix diagnostic: ExtraTrees residualization left no useful neural residual.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-006,38,Residual Macro PINN backbone,Negative,docs/results/ambench_multiline_process_residual_backbone_v1.md,Appendix diagnostic: backbone changes improved one metric only by hurting others.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-007,39-40,Process-conditioned output affine calibration,Non-transferable,docs/results/ambench_multiline_process_output_affine_v1.md,Appendix diagnostic: broad12 local positive failed broad21 transfer.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-008,41-43,Derived process features and process encoder,Non-transferable,docs/results/ambench_multiline_process_process_encoder_v1.md,Appendix diagnostic: representation signals were broad21-positive but broad12-negative.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-009,44,Process-condition group-balanced objective,Negative,docs/results/ambench_multiline_process_group_balance_v1.md,Appendix diagnostic: region gains on broad21 sacrificed global RMSE and broad12 failed.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-010,45,Baseline-guarded expert stack gate,Negative,docs/results/ambench_multiline_process_baseline_guarded_expert_plan_v1.md,Appendix diagnostic: existing experts did not contain a validation-selectable transferable stack.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-011,46-51,Bayesian inverse closure and moving-source inversion,"Synthetic-positive, AM-Bench-negative",docs/results/ambench_dense_source_parameter_transfer_v1.md,Limitation/negative control: interpretable source inversion needs better AM-Bench path registration.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-012,52-53,Registered source-path features and data pivot,Data-incompatible,docs/results/ambench_source_path_data_pivot_gate_v1.md,Limitation: current bundle lacks single-track scan-path/camera registration metadata.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-013,58,Alternate-density broad21 spot_size stress,Density-sensitive boundary,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.md,Appendix/route-boundary: fixed-sampling claim is not density-invariant.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-BASE-014,59,Residual anatomy and no-test-leakage upper-bound probe,Negative model-expansion gate,docs/results/phase59_residual_anatomy/phase59_broad21_density_residual_upper_bound.md,Appendix/route-boundary: validation-visible correction falls back to mean baseline.,Carried forward from Phase 60 appendix negative diagnostic table.
P88-APPX-075,75,bayesian_inverse_closure_v1,blocked_by_local_ambench_gate,docs/results/phase75_bayesian_inverse_closure_gate/,appendix diagnostic: synthetic-positive but local AM-Bench-negative,"The candidate is identifiable on synthetic heat-source data, but the local AM-Bench gate still shifts error between global, hot q90, and gradient q90 metrics. Do not run broad12/broad21 A100 validation yet."
P88-APPX-079,79,bounded_spot_size_parameterization_v1 safety gate,local_surrogate_required_before_a100,docs/results/phase79_bounded_spot_size_parameterization_gate/,appendix diagnostic: direct A100 blocked by density debt,"fixed-sampling margins are positive, but density debt and Phase 69 still block direct A100 seed-7 validation"
P88-APPX-080,80,bounded_spot_size_parameterization_v1 local surrogate,blocked_by_local_surrogate_gate,docs/results/phase80_bounded_spot_size_local_surrogate_gate/,appendix diagnostic: local surrogate below gain threshold,validation gain over identity is below the pre-declared minimum
P88-APPX-081,81,registered target intake,blocked_no_registered_target,docs/results/phase81_registered_target_intake_gate/,future-work data limitation,"No current route has public reproducibility, split readiness, process metadata, and coordinate-compatible source/target registration at the same time."
