claim_anchor_id,claim_summary,manuscript_location,support_type,support_locator,evidence_register_key,allowed_claim_strength,verification_state,owner_skill,open_risk,draft_sentence
C61-MAIN-001,"The main manuscript claim is fixed-sampling broad12/broad21 spot-size transfer under broad_process_v1, not density-invariant robustness.",Results: Fixed-sampling spot-size transfer,result,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,phase60_main_table; phase60_manifest,moderate,writing_ready,paper-writing-workflow,Claim must remain limited to fixed-sampling broad12/broad21 spot_size.,"The main performance result is the fixed-sampling `spot_size` transfer setting, where `broad_process_v1` is evaluated on broad12 and broad21 with seeds 7, 1, and 2."
C61-RESULT-001,"On broad12 spot_size, broad_process_v1 beats the best strong baseline and no-process model on global, hot-zone, and gradient-band metrics.",Results: Fixed-sampling spot-size transfer,result,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; rows dataset=broad12,phase60_main_table,moderate,writing_ready,paper-writing-workflow,Do not generalize beyond broad12 spot_size.,"On broad12, the route achieved 136.384782 test RMSE, 162.125337 hot q90 RMSE, and 165.282182 gradient q90 RMSE, all below the corresponding best strong baselines."
C61-RESULT-002,"On broad21 spot_size, broad_process_v1 beats the best strong baseline and no-process model on global, hot-zone, and gradient-band metrics.",Results: Fixed-sampling spot-size transfer,result,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; rows dataset=broad21,phase60_main_table,moderate,writing_ready,paper-writing-workflow,Do not generalize beyond broad21 spot_size.,"On broad21, the route achieved 146.002303 test RMSE, 164.313888 hot q90 RMSE, and 174.735839 gradient q90 RMSE, again below the corresponding best strong baselines."
C61-STRESS-001,Stronger random-forest and histogram-gradient-boosting baselines did not invalidate the fixed-sampling floor.,Results: Stress tests,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=stronger_baseline_stress; rows=6,phase60_stress_boundary_table,moderate,writing_ready,paper-writing-workflow,Only applies to the implemented reproducible stress baseline family.,The stronger-baseline stress rows preserve the fixed-sampling floor: all six broad12/broad21 metric checks remain in the `pass` state.
C61-STRESS-002,The auxiliary broad15 panel supports the fixed-sampling spot-size route at seed 7.,Results: Stress tests,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=auxiliary_process_panel; rows=3,phase60_stress_boundary_table,cautious,writing_ready,paper-writing-workflow,Single seed auxiliary panel; do not treat as seed-robust external validation.,"The auxiliary broad15 process panel is consistent with the fixed-sampling result, with all three reported metrics marked as `pass` at seed 7."
C61-BOUNDARY-001,Alternate-density broad21 spot_size is a density-sensitive route boundary.,Results: Boundary tests,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=alternate_density_stress; boundary rows=3,phase60_stress_boundary_table,strong,writing_ready,paper-writing-workflow,Boundary must not be softened into robustness.,"The alternate-density broad21 rows are marked as `boundary` for test RMSE, hot q90 RMSE, and gradient q90 RMSE, so the manuscript must not claim density-invariant robustness."
C61-BOUNDARY-002,The Phase 59 no-test-leakage upper-bound probe blocks model expansion from the density failure.,Results: Boundary tests,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=residual_upper_bound_gate; docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,phase60_stress_boundary_table; phase60_manifest,strong,writing_ready,paper-writing-workflow,"Only blocks density-failure-driven expansion, not all future model work.","The residual upper-bound gate selected `blend:broad_process_v1->mean:alpha=1` and records `block_density_failure_driven_model_expansion`, indicating that the density failure should be written as a route boundary rather than as a new model signal."
C61-ROUTE-001,"Laser power, scan speed, full process, and line/no-process fallback are route-boundary evidence rather than universal process-conditioning wins.",Results: Route-guard boundaries,result,docs/results/phase60_manuscript_evidence_package/phase60_route_guard_boundary_table.csv; route_guard_only=6; no_process_fallback=2,phase60_route_guard_table,moderate,writing_ready,paper-writing-workflow,"Must not claim strong-baseline wins for laser_power, scan_speed, or full process.","The route-guard table keeps laser power, scan speed, and full process in boundary positions, while line positives are explicitly no-process fallback evidence."
C61-APPX-001,The appendix should carry Phases 33-53 negatives plus Phase 58/59 density-sensitive diagnostics.,Appendix: Negative diagnostics,result,docs/results/phase60_manuscript_evidence_package/phase60_appendix_negative_diagnostic_table.csv; rows=14,phase60_appendix_table,moderate,writing_ready,paper-writing-workflow,Appendix wording should not bury limitations that affect main claim scope.,"The appendix table contains fourteen diagnostic or boundary rows, including the Phase 58 density stress and Phase 59 residual upper-bound gate."
C61-GATE-001,"Next model branches remain gated: Candidate A is paused, Candidate B is blocked by Phase 59, and Candidate C is blocked by registration data.",Discussion: Next-branch gate,result,docs/results/phase60_manuscript_evidence_package/phase60_next_branch_gate_table.csv; rows=4,phase60_next_branch_gate_table,moderate,writing_ready,paper-writing-workflow,A future validation-visible signal can reopen a candidate branch.,"The next-branch table keeps Candidate A paused, Candidate B blocked by the Phase 59 density gate, and Candidate C blocked by registration data."
C61-METHOD-001,"Route selection, seed expansion, and model-branch promotion are governed by no-test-leakage and frozen-floor rules.",Methods: Claim governance,code/result,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,phase60_manifest,moderate,writing_ready,paper-writing-workflow,Methods should not imply all historical branches used the Phase 60 gate before it existed.,"Route selection, seed expansion, and future branch promotion are described under a frozen-floor rule that requires preserving the broad12/broad21 `spot_size` floor before seed expansion."
