diagnostic_id,source_phase,branch,status,blocked_item,reason,claim_use,model_training_allowed,a100_training_allowed_now,a100_80gb_request_now,evidence_source
P116-APPX-001,33,Fixed Fourier spacetime representation,Negative,Fixed Fourier spacetime representation,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: fixed coordinate basis degraded all broad12 splits.,false,false,false,docs/results/ambench_multiline_process_fourier_spacetime_v1.md
P116-APPX-002,34,Sparse closure and learned residual correction,Negative,Sparse closure and learned residual correction,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: closure/residual heads over-traded hot/gradient metrics.,false,false,false,docs/results/ambench_multiline_process_residual_correction_v1.md
P116-APPX-003,35,Train-split region-weighted data loss,Negative after seed check,Train-split region-weighted data loss,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: single-seed region gains did not survive paired seeds.,false,false,false,docs/results/ambench_multiline_process_region_weighted_loss_v1.md
P116-APPX-004,36,Structured process-neighborhood RBF features,Unstable,Structured process-neighborhood RBF features,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: split-local process-neighborhood signal did not transfer.,false,false,false,docs/results/ambench_multiline_process_process_graph_rbf_v1.md
P116-APPX-005,37,Strong-baseline residualized Macro PINN,Negative,Strong-baseline residualized Macro PINN,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: ExtraTrees residualization left no useful neural residual.,false,false,false,docs/results/ambench_multiline_process_target_residual_v1.md
P116-APPX-006,38,Residual Macro PINN backbone,Negative,Residual Macro PINN backbone,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: backbone changes improved one metric only by hurting others.,false,false,false,docs/results/ambench_multiline_process_residual_backbone_v1.md
P116-APPX-007,39-40,Process-conditioned output affine calibration,Non-transferable,Process-conditioned output affine calibration,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: broad12 local positive failed broad21 transfer.,false,false,false,docs/results/ambench_multiline_process_output_affine_v1.md
P116-APPX-008,41-43,Derived process features and process encoder,Non-transferable,Derived process features and process encoder,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: representation signals were broad21-positive but broad12-negative.,false,false,false,docs/results/ambench_multiline_process_process_encoder_v1.md
P116-APPX-009,44,Process-condition group-balanced objective,Negative,Process-condition group-balanced objective,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: region gains on broad21 sacrificed global RMSE and broad12 failed.,false,false,false,docs/results/ambench_multiline_process_group_balance_v1.md
P116-APPX-010,45,Baseline-guarded expert stack gate,Negative,Baseline-guarded expert stack gate,Carried forward from Phase 60 appendix negative diagnostic table.,Appendix diagnostic: existing experts did not contain a validation-selectable transferable stack.,false,false,false,docs/results/ambench_multiline_process_baseline_guarded_expert_plan_v1.md
