blocker_id,category,priority,needed_input,blocks_submission,blocks_model_training,next_action,evidence_source
P92-MANUAL-001,target venue or author guide,P0,one named journal/conference with author instructions URL or local PDF,true,false,provide target venue and author guide before Phase 93 formatting,docs/results/phase92_benchmark_review_intake/phase92_manual_benchmark_queue.csv
P92-MANUAL-002,accepted target-near benchmark papers,P0,at least 3 usable papers; 5 preferred; 10 maximum for this review package,true,false,provide 3-10 accepted benchmark papers or their DOI/URL/title list,docs/results/phase92_benchmark_review_intake/phase92_manual_benchmark_queue.csv
P92-MANUAL-003,retarget decision if benchmark review finds contribution too narrow,P1,choose retarget venue or open a separate gated Track B model branch,false,true,decide retarget-vs-new-model only after benchmark input exists,docs/results/phase92_benchmark_review_intake/phase92_manual_benchmark_queue.csv
P92-MANUAL-004,"No target venue, author guide, or accepted-paper benchmark set has been provided.",P0,resolve Phase 89 manual verification queue,true,false,User should provide target venue or 3-10 benchmark papers before final formatting/citation-density claims.,docs/results/phase92_benchmark_review_intake/phase92_manual_benchmark_queue.csv
P92-MANUAL-005,"No target venue, author guide, or accepted-paper benchmark set has been provided.",P0,resolve Phase 90 venue blocker queue,true,false,User should provide target venue or 3-10 benchmark papers before final formatting/citation-density claims.,docs/results/phase92_benchmark_review_intake/phase92_manual_benchmark_queue.csv
P116-C74-001,density-invariant robustness,P1,state as limitation or boundary only,false,false,map to appendix or stress-boundary evidence,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json
P116-C74-002,universal process-conditioning success,P1,state as limitation or boundary only,false,false,map to appendix or stress-boundary evidence,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json
P116-C74-003,"laser_power, scan_speed, or full-process strong-baseline wins",P1,state as limitation or boundary only,false,false,map to appendix or stress-boundary evidence,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json
P116-C74-004,source-path or Green's-function broad12/broad21 success under current data registration,P1,state as limitation or boundary only,false,false,map to appendix or stress-boundary evidence,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json
P116-C74-005,Candidate A: bounded physical spot-size parameterization,P1,future work only,false,true,non-training gate row,docs/results/phase69_spot_size_signal_probe/phase69_candidate_a_gate.json
P116-C74-006,Candidate B: validation-auditable route policy,P1,future work only,false,true,route-policy blocked gate,docs/results/phase70_route_policy_audit/phase70_candidate_b_gate.json
P116-C74-007,Candidate C: data-aligned heat-kernel or Green's-function features,P1,data limitation and future registered-target work,false,true,data-registration blocked gate,docs/results/phase71_data_registration_audit/phase71_candidate_c_gate.json
P116-C74-008,density-failure-driven model expansion,P1,"route boundary, not model signal",false,false,Phase 59 residual upper-bound gate,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json
P116-C74-009,all current trainable model branches,P1,do not imply a newer architecture has passed,false,false,Phase 68 scorecard summary,docs/results/phase68_validation_signal_scorecard/phase68_validation_signal_scorecard_manifest.json
P116-NIST-AMMT-TRAINING-LOCK,NIST AMMT diagnostic branches,P0,fresh baseline-first registered target/data-source gate,false,true,do not train on Phase 112-114 NIST AMMT branches; return to manuscript consolidation or a fresh baseline-first data-source intake,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_closure_gate.json
P116-A100-80GB-LOCK,compute escalation,P0,measured 40GB blockage on a seed-positive branch,false,false,do not request A100-SXM4-80GB from current evidence package,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_boundary_table.csv
