claim_id,claim_location,claim_summary,source_anchor,support_type,evidence_locator,audit_status,allowed_in_v0,claim_strength,required_wording_guard
C61-MAIN-001,Results: Fixed-sampling spot-size transfer,"The main manuscript claim is fixed-sampling broad12/broad21 spot-size transfer under broad_process_v1, not density-invariant robustness.",C61-MAIN-001,result,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,supported_for_v0,yes,moderate,Claim must remain limited to fixed-sampling broad12/broad21 spot_size.
C61-RESULT-001,Results: Fixed-sampling spot-size transfer,"On broad12 spot_size, broad_process_v1 beats the best strong baseline and no-process model on global, hot-zone, and gradient-band metrics.",C61-RESULT-001,result,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; rows dataset=broad12,supported_for_v0,yes,moderate,Do not generalize beyond broad12 spot_size.
C61-RESULT-002,Results: Fixed-sampling spot-size transfer,"On broad21 spot_size, broad_process_v1 beats the best strong baseline and no-process model on global, hot-zone, and gradient-band metrics.",C61-RESULT-002,result,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; rows dataset=broad21,supported_for_v0,yes,moderate,Do not generalize beyond broad21 spot_size.
C61-STRESS-001,Results: Stress tests,Stronger random-forest and histogram-gradient-boosting baselines did not invalidate the fixed-sampling floor.,C61-STRESS-001,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=stronger_baseline_stress; rows=6,supported_for_v0,yes,moderate,Only applies to the implemented reproducible stress baseline family.
C61-STRESS-002,Results: Stress tests,The auxiliary broad15 panel supports the fixed-sampling spot-size route at seed 7.,C61-STRESS-002,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=auxiliary_process_panel; rows=3,supported_for_v0,yes,cautious,Single seed auxiliary panel; do not treat as seed-robust external validation.
C61-BOUNDARY-001,Results: Boundary tests,Alternate-density broad21 spot_size is a density-sensitive route boundary.,C61-BOUNDARY-001,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=alternate_density_stress; boundary rows=3,supported_for_v0,yes,strong,Boundary must not be softened into robustness.
C61-BOUNDARY-002,Results: Boundary tests,The Phase 59 no-test-leakage upper-bound probe blocks model expansion from the density failure.,C61-BOUNDARY-002,result,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=residual_upper_bound_gate; docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,supported_for_v0,yes,strong,"Only blocks density-failure-driven expansion, not all future model work."
C61-ROUTE-001,Results: Route-guard boundaries,"Laser power, scan speed, full process, and line/no-process fallback are route-boundary evidence rather than universal process-conditioning wins.",C61-ROUTE-001,result,docs/results/phase60_manuscript_evidence_package/phase60_route_guard_boundary_table.csv; route_guard_only=6; no_process_fallback=2,supported_for_v0,yes,moderate,"Must not claim strong-baseline wins for laser_power, scan_speed, or full process."
C61-APPX-001,Appendix: Negative diagnostics,The appendix should carry Phases 33-53 negatives plus Phase 58/59 density-sensitive diagnostics.,C61-APPX-001,result,docs/results/phase60_manuscript_evidence_package/phase60_appendix_negative_diagnostic_table.csv; rows=14,supported_for_v0,yes,moderate,Appendix wording should not bury limitations that affect main claim scope.
C61-GATE-001,Discussion: Next-branch gate,"Next model branches remain gated: Candidate A is paused, Candidate B is blocked by Phase 59, and Candidate C is blocked by registration data.",C61-GATE-001,result,docs/results/phase60_manuscript_evidence_package/phase60_next_branch_gate_table.csv; rows=4,supported_for_v0,yes,moderate,A future validation-visible signal can reopen a candidate branch.
C61-METHOD-001,Methods: Claim governance,"Route selection, seed expansion, and model-branch promotion are governed by no-test-leakage and frozen-floor rules.",C61-METHOD-001,code/result,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,supported_for_v0,yes,moderate,Methods should not imply all historical branches used the Phase 60 gate before it existed.
C74-LIT-LOCK,Introduction/Related Work,External literature and target-venue claims remain placeholders until verified.,phase61_literature_gap_register,literature_gap,docs/results/phase61_manuscript_draft_package/phase61_literature_gap_register.csv,locked_out_of_v0_claims,no,none_for_unverified_literature,Do not write final Introduction or Related Work claims until literature gaps are resolved.
C74-MODEL-GATE,Discussion/Future Work,No new model branch is currently open for A100 training.,phase68_69_70_71_gates,gate,docs/results/phase68_validation_signal_scorecard/; docs/results/phase69_spot_size_signal_probe/; docs/results/phase70_route_policy_audit/; docs/results/phase71_data_registration_audit/,supported_for_v0,yes,boundary,Candidate A status=paused_no_training_signal; Candidate B status=blocked_no_validation_visible_route_policy_signal; Candidate C status=blocked_by_registration_data; trainable_model_opened=False.
