claim_id,claim_area,status,allowed_use,evidence_anchor,wording_guard,source_phase
C61-MAIN-001,Results: Fixed-sampling spot-size transfer,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,Claim must remain limited to fixed-sampling broad12/broad21 spot_size.,74
C61-RESULT-001,Results: Fixed-sampling spot-size transfer,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; rows dataset=broad12,Do not generalize beyond broad12 spot_size.,74
C61-RESULT-002,Results: Fixed-sampling spot-size transfer,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_main_spot_size_seed_positive_table.csv; rows dataset=broad21,Do not generalize beyond broad21 spot_size.,74
C61-STRESS-001,Results: Stress tests,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=stronger_baseline_stress; rows=6,Only applies to the implemented reproducible stress baseline family.,74
C61-STRESS-002,Results: Stress tests,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=auxiliary_process_panel; rows=3,Single seed auxiliary panel; do not treat as seed-robust external validation.,74
C61-BOUNDARY-001,Results: Boundary tests,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=alternate_density_stress; boundary rows=3,Boundary must not be softened into robustness.,74
C61-BOUNDARY-002,Results: Boundary tests,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_stress_boundary_table.csv; scenario=residual_upper_bound_gate; docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,"Only blocks density-failure-driven expansion, not all future model work.",74
C61-ROUTE-001,Results: Route-guard boundaries,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_route_guard_boundary_table.csv; route_guard_only=6; no_process_fallback=2,"Must not claim strong-baseline wins for laser_power, scan_speed, or full process.",74
C61-APPX-001,Appendix: Negative diagnostics,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_appendix_negative_diagnostic_table.csv; rows=14,Appendix wording should not bury limitations that affect main claim scope.,74
C61-GATE-001,Discussion: Next-branch gate,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_next_branch_gate_table.csv; rows=4,A future validation-visible signal can reopen a candidate branch.,74
C61-METHOD-001,Methods: Claim governance,supported_for_v0,main_or_appendix_v0,docs/results/phase60_manuscript_evidence_package/phase60_manuscript_evidence_package_manifest.json,Methods should not imply all historical branches used the Phase 60 gate before it existed.,74
C74-LIT-LOCK,Introduction/Related Work,locked_out_of_v0_claims,not_allowed_in_v0,docs/results/phase61_manuscript_draft_package/phase61_literature_gap_register.csv,Do not write final Introduction or Related Work claims until literature gaps are resolved.,74
C74-MODEL-GATE,Discussion/Future Work,supported_for_v0,main_or_appendix_v0,docs/results/phase68_validation_signal_scorecard/; docs/results/phase69_spot_size_signal_probe/; docs/results/phase70_route_policy_audit/; docs/results/phase71_data_registration_audit/,Candidate A status=paused_no_training_signal; Candidate B status=blocked_no_validation_visible_route_policy_signal; Candidate C status=blocked_by_registration_data; trainable_model_opened=False.,74
nist_ammt_registered_intake_diagnostic_package,nist_ammt_all_closed_branches,allowed_appendix_only,appendix_methods_and_negative_results,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_claim_use_table.csv,NIST AMMT evidence is appendix/diagnostic only unless a fresh gate passes.,115
melt_pool_target_branch_closed,melt_pool_camera_target,closed_negative,appendix_negative_result,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_claim_use_table.csv,NIST AMMT evidence is appendix/diagnostic only unless a fresh gate passes.,115
gcode_strategy_source_branch_closed,gcode_strategy_source,closed_negative,appendix_negative_result,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_claim_use_table.csv,NIST AMMT evidence is appendix/diagnostic only unless a fresh gate passes.,115
main_paper_floor_unchanged,broad_process_v1_spot_size,unchanged_positive_floor,main_text_floor,docs/results/phase115_nist_ammt_diagnostic_closure_package/phase115_nist_ammt_diagnostic_claim_use_table.csv,NIST AMMT evidence is appendix/diagnostic only unless a fresh gate passes.,115
