phase,branch,target,result,paper_use,evidence
33,Fixed Fourier spacetime representation,"broad12 broad_process_v1, all grouped splits",Negative,Appendix diagnostic: fixed coordinate basis degraded all broad12 splits.,docs/results/ambench_multiline_process_fourier_spacetime_v1.md
34,Sparse closure and learned residual correction,broad12 spot_size,Negative,Appendix diagnostic: closure/residual heads over-traded hot/gradient metrics.,docs/results/ambench_multiline_process_residual_correction_v1.md
35,Train-split region-weighted data loss,broad12 spot_size,Negative after seed check,Appendix diagnostic: single-seed region gains did not survive paired seeds.,docs/results/ambench_multiline_process_region_weighted_loss_v1.md
36,Structured process-neighborhood RBF features,broad12/broad21 laser_power/spot_size diagnostics,Unstable,Appendix diagnostic: split-local process-neighborhood signal did not transfer.,docs/results/ambench_multiline_process_process_graph_rbf_v1.md
37,Strong-baseline residualized Macro PINN,broad12 spot_size and laser_power,Negative,Appendix diagnostic: ExtraTrees residualization left no useful neural residual.,docs/results/ambench_multiline_process_target_residual_v1.md
38,Residual Macro PINN backbone,broad12 spot_size and laser_power,Negative,Appendix diagnostic: backbone changes improved one metric only by hurting others.,docs/results/ambench_multiline_process_residual_backbone_v1.md
39-40,Process-conditioned output affine calibration,laser_power broad12/broad21,Non-transferable,Appendix diagnostic: broad12 local positive failed broad21 transfer.,docs/results/ambench_multiline_process_output_affine_v1.md
41-43,Derived process features and process encoder,laser_power broad12/broad21,Non-transferable,Appendix diagnostic: representation signals were broad21-positive but broad12-negative.,docs/results/ambench_multiline_process_process_encoder_v1.md
44,Process-condition group-balanced objective,laser_power broad12/broad21,Negative,Appendix diagnostic: region gains on broad21 sacrificed global RMSE and broad12 failed.,docs/results/ambench_multiline_process_group_balance_v1.md
45,Baseline-guarded expert stack gate,laser_power broad12/broad21,Negative,Appendix diagnostic: existing experts did not contain a validation-selectable transferable stack.,docs/results/ambench_multiline_process_baseline_guarded_expert_plan_v1.md
46-51,Bayesian inverse closure and moving-source inversion,synthetic and AM-Bench Line_0_1 sparse/dense gates,"Synthetic-positive, AM-Bench-negative",Limitation/negative control: interpretable source inversion needs better AM-Bench path registration.,docs/results/ambench_dense_source_parameter_transfer_v1.md
52-53,Registered source-path features and data pivot,Line_0_1 and pad thermography diagnostics,Data-incompatible,Limitation: current bundle lacks single-track scan-path/camera registration metadata.,docs/results/ambench_source_path_data_pivot_gate_v1.md
