kind,dataset,split_or_branch,status,process_conditioning_claim,route,metrics_gate,seed_gate,paper_placement,current_evidence,next_action,notes
process_axis,broad12,laser_power,route_guard_only,no,concat/global_standard,route_guard_positive,not_seed_expanded,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,Keep as boundary evidence unless a new branch beats strong baselines.,broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics.
process_axis,broad12,line,route_guard_no_process_positive,no,none/none,strong-baseline-positive via no-process fallback,not_seed_expanded_for_process_claim,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,"Use only as fallback evidence, not process-conditioning improvement.",broad_process_v1 beats the best strong baseline and is non-worse than no-process on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
process_axis,broad12,process,route_guard_only,no,none/none,route_guard_positive,not_seed_expanded,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,Keep as boundary evidence unless a new branch beats strong baselines.,broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
process_axis,broad12,scan_speed,route_guard_only,no,none/none,route_guard_positive,not_seed_expanded,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,Keep as boundary evidence unless a new branch beats strong baselines.,broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
process_axis,broad12,spot_size,paper_positive_seed_robust,yes,film/global_standard,aggregate_pass=True,paired_pass=True; status=seed_robust_transfer_positive,main_table_and_main_figure,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase55_spot_size_route_seed_check_summary.json,Use as frozen floor; future candidates must beat or preserve this route.,broad_process_v1 beats the best strong baseline and is non-worse than no-process on all required metrics.
process_axis,broad21,laser_power,route_guard_only,no,concat/global_standard,route_guard_positive,not_seed_expanded,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,Keep as boundary evidence unless a new branch beats strong baselines.,broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics.
process_axis,broad21,line,route_guard_no_process_positive,no,none/none,strong-baseline-positive via no-process fallback,not_seed_expanded_for_process_claim,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,"Use only as fallback evidence, not process-conditioning improvement.","broad_process_v1 beats the best strong baseline and is non-worse than no-process on all required metrics. A neural reference is better on at least one metric: rmse:process_axis_v1, hot_q90_rmse:process_axis_v1, gradient_q90_rmse:process_axis_v1. The selected route is the no-process fallback; do not claim process conditioning improves this split."
process_axis,broad21,process,route_guard_only,no,none/none,route_guard_positive,not_seed_expanded,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,Keep as boundary evidence unless a new branch beats strong baselines.,broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. The selected route is the no-process fallback; do not claim process conditioning improves this split.
process_axis,broad21,scan_speed,route_guard_only,no,none/none,route_guard_positive,not_seed_expanded,route_guard_boundary_table,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase54_process_route_claim_boundary_summary.json,Keep as boundary evidence unless a new branch beats strong baselines.,broad_process_v1 supports route-guard evidence but does not beat the best strong baseline on all required metrics. A neural reference is better on at least one metric: hot_q90_rmse:process_axis_v1. The selected route is the no-process fallback; do not claim process conditioning improves this split.
process_axis,broad21,spot_size,paper_positive_seed_robust,yes,film/global_standard,aggregate_pass=True,paired_pass=True; status=seed_robust_transfer_positive,main_table_and_main_figure,/root/matsci-gnn-pinn-phase58-clean/outputs/reports/phase55_spot_size_route_seed_check_summary.json,Use as frozen floor; future candidates must beat or preserve this route.,broad_process_v1 beats the best strong baseline and is non-worse than no-process on all required metrics.
